Name;Fueltype;Technology;Set;DateIn;DateOut;Country;City;Capacity;Efficiency;lat;lon;CHP_MaxHeat
HKW ErlangenGuD I;NAT_GAS;GAS_CC_EXC_f2000;CHP;2005;;Germany;Erlangen;21,6;0,56;49,5878361;11,01206652;21,1
Heizkraftwerke an der FriedensbrueckeTSIII Wuerzbur;NAT_GAS;WAST_ST_EXC_b1969;CHP;1971;;Germany;Wuerzburg;23;0,23;49,81904956;9,915049056;24,73711
Heizkraftwerke an der FriedensbrueckeTSII Wuerzburg;NAT_GAS;WAST_ST_BKP_b1999;CHP;1993;;Germany;Wuerzburg;25;0,21;49,81904956;9,915049056;22,08572
Heizkraftwerke an der FriedensbrueckeGTII Wuerzburg;NAT_GAS;GAS_CC_BKP_f2000;CHP;2009;;Germany;Wuerzburg;29,5;0,51;49,81904956;9,915049056;26,06115
Heizkraftwerke an der FriedensbrueckeGTI Wuerzburg;NAT_GAS;GAS_CC_BKP_f2000;CHP;2005;;Germany;Wuerzburg;44,5;0,51;49,81904956;9,915049056;125
Cogeneration Neustadt;NAT_GAS;GAS_GT_CH2_b1999;CHP;1996;;Germany;Neustadt;25,4;0,33;;;42,18699
Kombi-HKW Kassel;NAT_GAS;GAS_CC_EXC_b1983;CHP;1987;;Germany;Kassel;50;0,44;51,28351901;9,464256806;45
Obernburg2;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;2100;Germany;Obernburg;36;0,3;49,829267;9,14828;33,47198
P&L Werk LageKessel 1/2/3;NAT_GAS;GAS_ST_EXC_b1989;CHP;1980;;Germany;Lage;10,2;0,35;51,98527812;8,77586021;16,16388
Kraftwerk Meggle Reithmehring;NAT_GAS;GAS_CC_EXC_f2000;CHP;2001;;Germany;Reithmehring;12,6;0,56;48,05532059;12,19653735;33,5
Sigmundshall Wunstorf;NAT_GAS;GAS_GT_CH1_b1999;CHP;1974;;Germany;Wunstorf;19;0,33;52,43848576;9,392167659;7,666667
HKW Schildescher Strasse Bielefeld 1;NAT_GAS;GAS_GT_CH2_b1983;CHP;1978;;Germany;Bielefeld;23,5;0,27;52,05161153;8,546374943;160
HKW-MitteBlock 12 Braunschweig;NAT_GAS;WAST_ST_BKP_b1983;CHP;1971;;Germany;Braunschweig;20;0,19;52,28190718;10,53546889;67,2
HKW-MitteGuD Braunschweig;NAT_GAS;GAS_CC_EXC_f2000;CHP;2010;;Germany;Braunschweig;74;0,56;52,28190718;10,53546889;67,245
HKW-NordGT Braunschweig;NAT_GAS;GAS_GT_CH2_b1969;CHP;1970;;Germany;Braunschweig;25;0,26;52,31085965;10,47499276;80
Dampfkraftwerk BGH - O1 Burghausen;NAT_GAS;GAS_ST_EXC_b1989;CHP;2001;;Germany;Burghausen;178;0,35;48,16337403;12,81146241;350
HKW Eltmann;NAT_GAS;GAS_ST_EXC_f2000;CHP;2008;;Germany;Eltmann;54;0,4;49,96142306;10,66904943;85,57348
HKW WestBlock 4 Frankfurt am Main;NAT_GAS;GAS_GT_CH1_b1999;CHP;1994;;Germany;Wolfsburg;99;0,33;50,098294;8,653205;150
Hattorf alt Philippsthal;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Philippsthal;35;0,3;50,85025812;9,975628019;37,64342
HKW-West Lemgo ;NAT_GAS;GAS_ST_EXC_f2000;CHP;2002;;Germany;Lemgo ;12,8;0,4;52,03706522;8,899451047;14,8
Cogen Dow Stade;NAT_GAS;COAL_ST_BKP_b1999;CHP;2013;;Germany;Stade;157;0,29;53,64581129;9,46971546;300
GuD Baunatal, VW Werksgelaende;NAT_GAS;GAS_GT_CH2_f2000;CHP;2013;;Germany;Baunatal;78;0,35;51,2508746;9,409065013;85
KWK AOS GmbHGT 1/2 Stade- Buetzfleth;NAT_GAS;GAS_GT_CH2_f2000;CHP;2012;;Germany;Stade- Buetzfleth;30,72;0,35;53,64581129;9,46971546;43,88572
HKW Schildescher Strasse Bielefeld 2;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Bielefeld;41;0,3;52,05161153;8,546374943;26,5
Hattorf neu Philippsthal;NAT_GAS;GAS_ST_EXC_f2000;CHP;2013;;Germany;Philippsthal;17,3;0,4;50,85025812;9,975628019;60
Werkskraftwerk Sappi AlfeldGaskraftwerk;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Alfeld;20;0,3;51,98873229;9,820776306;31,69388
Energiezentrale 1992AGG1 -  AGG7 Muenchen;NAT_GAS;GAS_GT_CH2_b1989;CHP;1992;;Germany;Muenchen;9,5;0,3;;;13,3
HBBGUD Raubling;NAT_GAS;GAS_CC_BKP_f2000;CHP;2000;;Germany;Raubling;24;0,51;47,789677;12,083621;70
PKV KraftwerkKWK-Bloecke Varel;NAT_GAS;GAS_ST_EXC_b1989;CHP;1989;;Germany;Varel;58,1;0,35;53,38931598;8,11581435;92,07072
GuD-Anlage Aschaffenburg;NAT_GAS;GAS_CC_EXC_f2000;CHP;2013;;Germany;Aschaffenburg;47;0,56;49,98150489;9,118020019;67
Heizkraftwerk zur Papierfabrik Nortrup;NAT_GAS;GAS_GT_CH1_b1999;CHP;1995;;Germany;Nortrup;18,1;0,33;52,61933899;7,873597554;25,85714
BHKW Braunschweig;NAT_GAS;GAS_GT_CH2_f2000;CHP;2014;;Germany;Braunschweig;10,2;0,35;52,31085965;10,47499276;16,94123
GUD-Anlage DREWSEN Lachendorf;NAT_GAS;GAS_CC_EXC_f2000;CHP;2000;;Germany;Lachendorf;13;0,56;52,62816879;10,24889519;11,48457
 Herzberg;NAT_GAS;GAS_ST_EXC_b1983;CHP;1978;;Germany;Herzberg;19,49;0,32;51,63025552;10,33733343;20,96201
Werk Nordstemmen;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Nordstemmen;30,6;0,3;52,16570763;9,7906988;48,49163
Werk Clauen Hohenhameln;NAT_GAS;GAS_ST_BKP_b1983;CHP;2000;;Germany;Hohenhameln;15,8;0,24;52,27068028;10,07742748;22,57143
Heizkraftwerk WestT3 Karlsruhe;NAT_GAS;COAL_ST_BKP_b1983;CHP;1984;;Germany;Karlsruhe;33;0,245;48,99969867;8,327559745;34,40176
GuD Anlage WVKGuD Anlage Freiburg;NAT_GAS;GAS_GT_CH1_b1999;CHP;1998;;Germany;Freiburg;40;0,33;48,04136305;7,831717684;54,61203
BHKW Obere Viehweide - Tuebingen;NAT_GAS;GAS_IC_CH1_f2000;CHP;2000;;Germany;Tuebingen;13,4;0,38;48,49332978;9,04284968;12
Kraftwerk Grenzach-Wyhlen;NAT_GAS;GAS_GT_CH2_f2000;CHP;2004;;Germany;Grenzach-Wyhlen;40;0,35;47,5537099;7,684622552;75
Heizkraftwerk SindelfingenS5 Sammelschienen-HKW;NAT_GAS;GAS_CC_EXC_f2000;CHP;2013;;Germany;Sindelfingen;95;0,56;;;60
KWKK Heidelberg;NAT_GAS;GAS_CC_EXC_f2000;CHP;2002;;Germany;Heidelberg;13,5;0,56;49,41657273;8,692723125;11,92629
IHKW HeidenheimKessel-Turbine;NAT_GAS;GAS_IC_CH1_b1989;CHP;1983;;Germany;Heidenheim;11;0,32;48,66702451;10,18530848;9,717715
IHKW HeidenheimBHKW-Anlage;NAT_GAS;GAS_CC_EXC_f2000;CHP;2000;;Germany;Heidenheim;15,4;0,56;48,66702451;10,18530848;13,6048
HKW PfaffenwaldAnlage 40 Stuttgart;NAT_GAS;GAS_GT_CH1_b1999;CHP;1988;;Germany;Stuttgart;12,1;0,33;48,74505736;9,08979478;17,28572
HKW PfaffenwaldBlock 50 Stuttgart;NAT_GAS;OIL_ST_BKP_b1983;CHP;1970;;Germany;Stuttgart;11,3;0,22;48,74505736;9,08979478;17,90704
HKW PfaffenwaldBlock 60 Stuttgart;NAT_GAS;OIL_ST_BKP_b1983;CHP;1970;;Germany;Stuttgart;11,5;0,22;48,74505736;9,08979478;18,22398
Heizkraftwerk Evonik Rheinfelden;NAT_GAS;GAS_GT_CH2_b1989;CHP;1980;;Germany;Rheinfelden;16;0,3;47,5878463;7,771857073;22,85714
HKW Freiburg;NAT_GAS;GAS_GT_CH1_b1999;CHP;2001;;Germany;Freiburg;25;0,33;48,00557217;7,842279817;39,61735
GuD-Anlage RuesselsheimM120 Ruesselheim;NAT_GAS;GAS_CC_EXC_b1999;CHP;1999;;Germany;Ruesselheim;112,1;0,52;49,990168;8,398549;88
Wi-BiebrichBlock 1 Wiesbaden;NAT_GAS;GAS_ST_EXC_f2000;CHP;2006;;Germany;Wiesbaden;25,015;0,4;50,03943936;8,242152512;39,64112
AGuD Duesseldorf;NAT_GAS;COAL_ST_BKP_b1969;CHP;2000;;Germany;Duesseldorf;100;0,23;51,22139096;6,731115088;75
EmslandB1 Lingen;NAT_GAS;GAS_GT_CH1_b1983;CHP;1973;;Germany;Lingen;116;0,27;52,47423158;7,317865227;32
EmslandC1 Lingen;NAT_GAS;GAS_GT_CH1_b1983;CHP;1974;;Germany;Lingen;116;0,27;52,47423158;7,317865227;32
Heizkraftwerk HafenGuD Muenster;NAT_GAS;GAS_CC_EXC_f2000;CHP;2005;;Germany;Muenster;104,1;0,56;51,9664621;7,651900833;120
HKW III/B Duisburg;NAT_GAS;GAS_CC_EXC_f2000;CHP;2005;;Germany;Duisburg;234;0,56;51,42337851;6,737139;167
HKW BarmenBlock 1 Wuppertal;NAT_GAS;GAS_ST_EXC_f2000;CHP;2005;;Germany;Wuppertal;82;0,4;51,27606211;7,205664866;110
ADS-Anlage Industriepark Hoechst;NAT_GAS;GAS_CC_EXC_f2000;CHP;2012;;Germany;Industriepark Hoechst;96,5;0,56;50,091284;8,530071;126
Sasol KraftwerkTG7/8 Moers;NAT_GAS;GAS_ST_EXC_f2000;CHP;1995;;Germany;Moers;22,3;0,4;51,46506792;6,654817245;35,33868
Holthausen Duesseldorf;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Duesseldorf;84;0,3;51,16846502;6,819770168;133,1143
Industriekraftwerk Ludwigshafen;NAT_GAS;GAS_ST_EXC_f2000;CHP;2003;;Germany;Ludwigshafen;11,96;0,4;49,46451175;8,421782932;40
 Annweiler;NAT_GAS;GAS_GT_CH2_f2000;CHP;1975;;Germany;Annweiler;28;0,35;49,23019244;7,936798659;40
Gas- u. Dampfturbinenanlage Suedraum Saarbruecken;NAT_GAS;GAS_GT_CH1_b1983;CHP;2012;;Germany;Saarbruecken;38,61;0,27;49,22262727;6,965854897;34
Heizkraftwerk Krefeld;NAT_GAS;GAS_GT_CH1_b1999;CHP;1990;;Germany;Krefeld;12,7;0,33;51,31368651;6,523060796;13,65919
BHKW H.120 Duesseldorf;NAT_GAS;GAS_GT_CH2_f2000;CHP;2012;;Germany;Duesseldorf;16,9;0,35;51,24948319;6,782396396;24,14286
 Bad Kreuznach;NAT_GAS;GAS_GT_CH2_f2000;CHP;2006;;Germany;Bad Kreuznach;10,7;0,35;49,82866824;7,875291355;15,28571
BP Werk Lingen;NAT_GAS;GAS_GT_CH1_b1999;CHP;1996;;Germany;Lingen;66;0,33;52,54136156;7,281548276;70,98475
HKW 1 Werk Offstein Obrigheim;NAT_GAS;GAS_GT_CH1_b1999;CHP;1992;;Germany;Obrigheim;30;0,33;51,46856287;6,859041088;32,26579
BHKW Woerth;NAT_GAS;GAS_GT_CH2_f2000;CHP;2013;;Germany;Woerth;13;0,35;;;11,4
KWK-Anlage Krefeld DTDampfturbine;NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Krefeld;25,8;0,56;51,3304792;6,645323281;22,79246
Energiezentrum Mohn Media Guetersloh;NAT_GAS;GAS_GT_CH1_b1999;CHP;1994;;Germany;Guetersloh;25;0,33;51,92094273;8,372963172;59
GaskraftwerkGKW Zuelpich;NAT_GAS;GAS_CC_EXC_b1969;CHP;1970;;Germany;Zuelpich;15,1;0,38;50,705088;6,65386;13,72162
HKW 1 Oberhausen;NAT_GAS;GAS_ST_EXC_b1969;CHP;1972;;Germany;Obrigheim;23,1;0,3;51,46856287;6,859041088;36,60643
EmslandB2 Lingen;NAT_GAS;GAS_CC_EXC_b1983;CHP;1973;;Germany;Lingen;359;0,44;52,47423158;7,317865227;37
EmslandC2 Lingen;NAT_GAS;GAS_CC_EXC_b1983;CHP;1974;;Germany;Lingen;359;0,44;52,47423158;7,317865227;37
DortmundKDO;NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Dortmund;26;0,56;51,5186001;7,516786703;29,43078
HKW Roemerbruecke Saarbruecken;NAT_GAS;GAS_CC_BKP_f2000;CHP;2005;;Germany;Saarbruecken;75;0,51;49,23058998;7,041957952;187
LauswardGuD Block F Duesseldorf;NAT_GAS;GAS_CC_EXC_f2000;CHP;2016;;Germany;Duesseldorf;595;0,56;51,22139096;6,731115088;330
Heizkraftwerk Hagen-KabelH4/5;NAT_GAS;GAS_CC_EXC_b1983;CHP;1980;2035;Germany;Hagen;230;0,44;51,411147;7,491435;108
HKW MerkenichGuD Koeln;NAT_GAS;GAS_CC_BKP_b1999;CHP;2004;;Germany;Koeln;108;0,47;51,04694896;6,877611699;80
Kraftwerk MainzKW3;NAT_GAS;GAS_CC_EXC_f2000;CHP;2001;;Germany;Mainz;434,2;0,56;50,025831;8,242313;115
HKW Niehl 2GuD Koeln;NAT_GAS;GAS_CC_EXC_f2000;CHP;2005;;Germany;Koeln;413;0,56;50,97492982;6,98803298;370
HKW Woerth;NAT_GAS;GAS_GT_CH1_b1999;CHP;2008;;Germany;Woerth;59;0,33;49,0362334;8,19092464;55
KW Leipheim;NAT_GAS;GAS_CC_EXC_b1969;CHP;2021;;Germany;Leipheim;600;0,38;48,432792;10,231269;530,0572
GasturbineGT Augsburg ;NAT_GAS;GAS_GT_CH1_f2000;CHP;2004;;Germany;Augsburg ;28,75;0,35;48,37992512;10,93770402;41,3
HKW Karcherstr.10 Kaiserslautern;NAT_GAS;GAS_ST_EXC_b1989;CHP;1989;;Germany;Kaiserslautern;11,6;0,35;49,43890458;7,769435647;12
X-Kraftwerk Leverkusen;NAT_GAS;GAS_GT_CH1_b1983;CHP;1981;;Germany;Leverkusen;27;0,27;;;18,9
Industriekraftwerk Breuberg;NAT_GAS;GAS_CC_EXC_b1999;CHP;1999;;Germany;Breuberg;11,4;0,52;49,82087471;9,041486065;10,35937
HKW MerheimGuD Koeln;NAT_GAS;GAS_CC_BKP_f2000;CHP;2001;;Germany;Koeln;15,8;0,51;50,94308239;7,085239192;29
GuD LeverkusenErdgas Chempark Leverkusen;NAT_GAS;GAS_CC_EXC_f2000;CHP;2018;;Germany;Chempark Leverkusen;574;0,56;51,011666;6,976436;520,6944
UPM SchongauHKW 3;NAT_GAS;GAS_ST_EXC_f2000;CHP;2014;;Germany;Schongau;76;0,4;47,80799581;10,89839665;75,28685
HKW Hiltrop Bochum 2;NAT_GAS;GAS_GT_CH2_b1983;CHP;2014;;Germany;Bochum;44;0,27;51,51356269;7,278288486;8,834287
Egger Kraftwerk BriilonGasturbinen - KWK - Anlage;NAT_GAS;GAS_GT_CH2_b1999;CHP;1996;;Germany;Brilon ;13,5;0,33;51,40845951;8,599935409;48
HKW III/A Duisburg;NAT_GAS;GAS_CC_EXC_f2000;CHP;2002;;Germany;Duisburg;40;0,56;51,38397475;6,758271861;88
HeizkraftwerkBlock A Industriepark Hoechst;NAT_GAS;GAS_ST_EXC_f2000;CHP;2003;;Germany;Industriepark Hoechst;86;0,4;50,091284;8,530071;204
KWK-Anlage Krefeld VMGasmotor (Dieselgenerator);NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Krefeld;14;0,56;51,3304792;6,645323281;12,368
KW MitteGT 1 Ludwigshafen;NAT_GAS;GAS_GT_CH1_b1999;CHP;1992;;Germany;Ludwigshafen;43;0,33;49,51373442;8,431556407;39,0748
HKW 2 Oberhausen;NAT_GAS;GAS_GT_CH2_f2000;CHP;1995;;Germany;Obrigheim;24,5;0,35;51,46856287;6,859041088;17,15
EnergiezentraleGasturbine Castrop-Rauxel;NAT_GAS;GAS_GT_CH1_b1999;CHP;1991;;Germany;Castrop-Rauxel;10,2;0,33;51,57813031;7,286408358;9,268906
HeizkraftwerkGT Darmstadt ;NAT_GAS;GAS_GT_CH1_b1999;CHP;1999;;Germany;Darmstadt ;10;0,33;49,8828183;8,628718585;14,28571
MT, Dueren;NAT_GAS;GAS_ST_EXC_f2000;CHP;2011;;Germany;Dueren;13,96;0,4;50,80141991;6,472613976;22,12233
BHKW an KlinkerwegModule 1, 2 und 3 Erkrath;NAT_GAS;GAS_GT_CH2_f2000;CHP;2000;;Germany;Erkrath;10,2;0,35;51,21918033;6,928127225;10,7
P&L Werk AppeldornLentjes-Kessel Kalkar;NAT_GAS;GAS_ST_EXC_f2000;CHP;2004;;Germany;Kalkar;11,4;0,4;51,75064892;6,310189073;18,06551
HKW MerkenichBlock 4 Koeln;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Koeln;15,5;0,3;51,04694896;6,877611699;90
BHKW Ludwigshafen;NAT_GAS;GAS_ST_EXC_f2000;CHP;2008;;Germany;Ludwigshafen;12,45617;0,4;49,46451175;8,421782932;21
GasturbineD290 Wesseling;NAT_GAS;GAS_GT_CH1_b1999;CHP;1995;;Germany;Wesseling;51,9;0,33;50,81776327;6,980709297;86,20098
Co-Generation- Worms;NAT_GAS;GAS_GT_CH1_b1999;CHP;1991;;Germany;Worms;11,5;0,33;49,62689153;8,371567489;18,22398
Heizkraftwerk Karlstrasse Bonn 2;NAT_GAS;GAS_ST_EXC_f2000;CHP;2013;;Germany;Bonn;95;0,4;50,72345594;7,093915917;70
Kesselhaus Zuckerfabrik Anklam;NAT_GAS;GAS_ST_BKP_b1999;CHP;1993;;Germany;Anklam;15,1;0,27;53,85177397;13,70958134;23,92888
"HKW ""Helmshaeger Berg""Gasturbine Greifswald";NAT_GAS;GAS_GT_CH2_b1999;CHP;1996;;Germany;Greifswald;14,7;0,33;54,08939866;13,37893084;27,3
GuD-HKW Neubrandenburg;NAT_GAS;GAS_CC_EXC_b1999;CHP;1997;;Germany;Neubrandenburg;75;0,52;53,57483178;13,29221017;249
GuD Marienehe Rostock;NAT_GAS;GAS_CC_BKP_b1999;CHP;1996;;Germany;Rostock;108;0,47;54,10212195;12,04477941;120
HKW Schwerin Sued;NAT_GAS;GAS_CC_BKP_b1999;CHP;1994;;Germany;Schwerin;44,9;0,47;53,6021673;11,41104398;60
HKW Schwerin Lankow;NAT_GAS;GAS_CC_BKP_b1999;CHP;1994;;Germany;Schwerin;23;0,47;53,65178096;11,34974539;31,6
Industriekraftwerk Greifswald Lubmin;NAT_GAS;GAS_GT_CH2_f2000;CHP;2014;;Germany;Lubmin;37;0,35;54,09082944;13,61424831;54,5
GuD Tiefstack Hamburg;NAT_GAS;GAS_CC_BKP_f2000;CHP;2009;;Germany;Hamburg;127;0,51;53,52918914;10,13072722;170
HeizkraftwerkHKW Hamburg;NAT_GAS;GAS_GT_CH2_b1989;CHP;1992;;Germany;Hamburg;22,5;0,3;53,50457089;9,973690113;37,37037
HKW Brandenburg;NAT_GAS;GAS_GT_CH1_b1999;CHP;1997;;Germany;Brandenburg;36;0,33;52,43799233;12,49933467;80
HKW Potsdam-SuedGesamtanlage;NAT_GAS;GAS_CC_BKP_b1999;CHP;1996;;Germany;Potsdam;81,8;0,47;52,37052852;13,09820983;275
GuD Schwarzheide;NAT_GAS;GAS_CC_EXC_b1983;CHP;1994;;Germany;Schwarzheide;122;0,44;51,48284819;13,85695556;209
GuD Mitte Berlin;NAT_GAS;GAS_CC_BKP_b1999;CHP;1996;;Germany;Berlin;444;0,47;52,511718;13,420904;670
KWK-Anlage Barby-;NAT_GAS;GAS_GT_CH1_b1999;CHP;1993;;Germany;Barby;18;0,33;51,9713477;11,84768258;28,33333
Industriekraftwerk Bernburg (IKB);NAT_GAS;GAS_CC_BKP_b1999;CHP;1994;;Germany;Bernburg;35;0,47;51,79732754;11,74658983;232
GuD Bitterfeld;NAT_GAS;GAS_CC_EXC_f2000;CHP;2000;;Germany;Bitterfeld;106;0,56;51,62325179;12,35709963;110
HKW Halle TrothaBlock A und B;NAT_GAS;GAS_CC_EXC_b1999;CHP;2005;;Germany;Halle;97;0,52;51,45436898;11,99425441;55
HKW Halle TrothaGuD;NAT_GAS;GAS_CC_EXC_b1999;CHP;2013;;Germany;Halle;56,1;0,52;51,45436898;11,99425441;50
GuD Leuna;NAT_GAS;GAS_CC_BKP_b1999;CHP;1998;;Germany;Leuna;39;0,47;51,30788205;12,01430528;138
GuD-Ikw Stassfurt;NAT_GAS;GAS_CC_BKP_b1999;CHP;1996;;Germany;Stassfurt;100;0,47;51,84167573;11,58172842;160
Zielitz;NAT_GAS;GAS_IC_CH1_b1999;CHP;1996;;Germany;Zielitz;27;0,35;52,28434965;11,62411551;7,833333
SteinitzGUD;NAT_GAS;GAS_GT_CH1_b1999;CHP;1995;;Germany;Steinitz;11,35;0,33;52,80117941;11,24890518;10,02692
Heizkraftwerk Stendal;NAT_GAS;GAS_IC_CH1_b1999;CHP;1994;;Germany;Stendal;22;0,35;52,61404038;11,87592665;24,4
Werk Klein Wanzleben;NAT_GAS;GAS_ST_EXC_b1989;CHP;1994;;Germany;Klein Wanzleben;23,4;0,35;52,06580552;11,42103222;25,16732
HKW Chemnitz  Nord IIBlock A;NAT_GAS;LIGN_ST_BKP;CHP;1986;;Germany;Chemnitz;57,2;0,22;;;165
HKW Dresden-Nossener Bruecke (3 GT + 1 DT, Sammel;NAT_GAS;GAS_CC_EXC_b1999;CHP;1995;;Germany;Dresden ;250;0,52;51,042243;13,708764;480
Kombikraftwerk Eilenburg;NAT_GAS;GAS_CC_BKP_b1999;CHP;1993;;Germany;Eilenburg;46,6;0,47;51,49575767;12,68609339;40
Heizkraftwerk Leipzig-Nord;NAT_GAS;GAS_CC_BKP_b1999;CHP;1996;;Germany;Leipzig;167;0,47;51,35321585;12,36154403;200
K&N PFK AG EVGT / GDT Kriebstein;NAT_GAS;GAS_GT_CH1_b1999;CHP;1993;;Germany;Kriebstein;12,75;0,33;50,98867138;12,98527054;21,17654
EVC / GLOBALFOUNDRIESEVC I Moritzburg;NAT_GAS;GAS_ST_EXC_b1999;CHP;1998;;Germany;Moritzburg;34,7;0,36;51,16435976;13,68808622;62,1
STW Weissenborn;NAT_GAS;GAS_ST_EXC_f2000;CHP;2007;;Germany;Weissenborn;13,5;0,4;50,90976804;13,35049033;14,51961
GuD-Heizkraftwerk Leppersdorf;NAT_GAS;GAS_CC_EXC_f2000;CHP;2014;;Germany;Leppersdorf;35;0,56;51,13222043;13,91747786;31,80507
HKW Erfurt-Ost 1;NAT_GAS;GAS_CC_BKP_b1999;CHP;2000;;Germany;Erfurt;76,5;0,47;51,02547728;11,02801282;224
HKW Jena;NAT_GAS;GAS_CC_EXC_b1999;CHP;1996;;Germany;Jena;182;0,52;50,92348514;11,61523083;225
HKW Schwarza Rudolstadt;NAT_GAS;GAS_CC_EXC_f2000;CHP;2008;;Germany;Rudolstadt;26,5;0,56;50,75537764;11,34781765;23,41086
HKW Bad Salzungen;NAT_GAS;GAS_GT_CH2_b1989;CHP;1994;;Germany;Bad Salzungen;10;0,3;50,82724188;10,25324495;57
HKW Bohrhuegel Suhl;NAT_GAS;GAS_GT_CH2_f2000;CHP;1995;;Germany;Suhl;13,5;0,35;50,6384772;10,73560056;22,42222
Unterbreizbach;NAT_GAS;GAS_ST_EXC_b1969;CHP;1970;;Germany;Unterbreizbach;20;0,3;50,79907877;9,987158;7,833333
HKW Erfurt-Ost 2;NAT_GAS;GAS_ST_EXC_f2000;CHP;2014;;Germany;Erfurt;32,6;0,4;51,02547728;11,02801282;40
HKW Wiesengrund Eisenach;NAT_GAS;GAS_ST_BKP_b1999;CHP;1993;;Germany;Eisenach;22,1;0,27;50,99082255;10,3015717;79,5
Sued DT11 Muenchen;NAT_GAS;GAS_CC_EXC_b1983;CHP;1980;;Germany;Muenchen;79,7;0,44;48,1172998;11,54724508;176,8
Sued GT31 Muenchen;NAT_GAS;GAS_CC_EXC_b1983;CHP;1980;;Germany;Muenchen;97,9;0,44;48,1172998;11,54724508;176,8
Sued GT21 Muenchen;NAT_GAS;GAS_CC_EXC_b1983;CHP;1980;;Germany;Muenchen;97,9;0,44;48,1172998;11,54724508;184,2
Sued DT602 Muenchen;NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Muenchen;127,6;0,56;48,1172998;11,54724508;181,1
Sued GT 602 Muenchen;NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Muenchen;124,9;0,56;48,1172998;11,54724508;184,2
Sued GT 622 Muenchen;NAT_GAS;GAS_CC_EXC_f2000;CHP;2004;;Germany;Muenchen;123,9;0,56;48,1172998;11,54724508;110,2
Kraftwerk 3 Fulda;NAT_GAS;GAS_ST_EXC_b1989;CHP;1990;;Germany;Fulda;26,2;0,35;50,59351381;9,680142136;28,17879
Kraftwerk IIIBlock 311 Marl;NAT_GAS;GAS_GT_CH2_b1983;CHP;1973;;Germany;Marl;61,13;0,27;51,68786566;7,115999099;195
Kraftwerk IIIBlock 312 Marl;NAT_GAS;GAS_GT_CH2_b1983;CHP;1974;;Germany;Marl;77,57;0,27;51,68786566;7,115999099;195
Niehl IIIaNiehl III Koeln;NAT_GAS;GAS_CC_EXC_f2000;CHP;2016;;Germany;Koeln;459,9;0,56;50,97492982;6,98803298;405,2874
Block E GTE2 Duesseldorf;NAT_GAS;GAS_CC_EXC_b1969;CHP;1974;;Germany;Duesseldorf;64,7;0,38;51,20573177;6,746321209;58,79394
Block E GTE1 Duesseldorf;NAT_GAS;GAS_CC_EXC_b1969;CHP;1974;;Germany;Duesseldorf;66,7;0,38;51,20573177;6,746321209;60,61137
EmslandGT 1 GT 2 DT Lingen;NAT_GAS;GAS_CC_EXC_f2000;CHP;2010;;Germany;Lingen;887;0,56;;;242,9429
Kraftwerk SuedGUD C 200 DT 1 GT 1 GT 2 Ludwigshafen;NAT_GAS;GAS_CC_BKP_f2000;CHP;1997;;Germany;Ludwigshafen;410;0,51;;;420
Kraftwerk MitteGUD A 800 DT 10 GT 11 GT 12 Ludwigshafen;NAT_GAS;GAS_CC_BKP_b1999;CHP;2005;;Germany;Ludwigshafen;490;0,47;;;540
